id,words,counts
3115,lesbian,2
3116,fake,16
3117,convincing,4
3118,series,4
3119,5,18
3120,locked,4
3121,contract,3
3122,sim,2
3123,1amp1,1
3124,unfollow,2
3125,ru,1
3126,pauls,1
3127,race,4
3128,playing,8
3129,match,2
3130,screen,3
3131,catering,1
3132,diverse,3
3133,clientele,1
3134,impasse,1
3135,singers,1
3136,darkroom,1
3137,farringdon,2
3138,shoes,2
3139,crawl,1
3140,rock,4
3141,axolotlfaced,1
3142,twatspangle,1
3143,goves,1
3144,o2,3
3145,speed,4
3146,startup,2
3147,area,6
3148,apologies,4
3149,excluded,3
3150,homeless,4
3151,play,12
3152,anti,4
3153,narrative,6
3154,brexitdavis,1
3155,sacked,5
3156,linemay,1
3157,sackeddavis,1
3158,splashed,1
3159,across,10
3160,pages,1
3161,newspapers,2
3162,labelled,2
3163,traitors,4
3164,mutineers,3
3165,saboteurs,3
3166,hangover,2
3167,redwinelips,1
3168,yesterday,20
3169,baffled,1
3170,resolved,1
3171,stability,4
3172,nations,5
3173,preventing,3
3174,economic,8
3175,destruction,2
3176,astounded,2
3177,archaic,2
3178,easily,5
3179,reproducible,1
3180,slack,1
3181,whatsapp,6
3182,proudly,1
3183,lobby,4
3184,notable,4
3185,ref,3
3186,among,10
3187,noting,1
3188,occasional,3
3189,push,4
3190,happening,16
3191,upgrading,1
3192,oreo,1
3193,app,11
3194,settings,1
3195,switched,2
3196,apps,1
3197,canarys,2
3198,laura,2
3199,kuenssberg,2
3200,breached,1
3201,press,12
3202,cast,4
3203,singing,1
3204,carols,1
3205,yard,1
3206,hotel,1
3207,soho,5
3208,tomorrow,16
3209,330pm,1
3210,proceeds,1
3211,bb8,1
3212,zeit,3
3213,deutsch,2
3214,within,10
3215,disappointing,5
3216,bbc,18
3217,output,2
3218,failing,7
3219,grapple,1
3220,forced,6
3221,print,5
3222,correction,4
3223,mainstream,1
3224,covering,4
3225,slap,4
3226,project,9
3227,deploying,1
3228,streets,3
3229,kat,1
3230,card,13
3231,eurovision,6
3232,queueing,2
3233,timeline,2
3234,fed,1
3235,thousand,1
3236,gps,2
3237,transition,4
3238,line,31
3239,budget,3
3240,indeed,11
3241,ni,12
3242,cake,10
3243,bake,2
3244,progay,2
3245,messages,7
3246,java,2
3247,dev,5
3248,sufficiently,1
3249,fintech,5
3250,biggest,14
3251,perk,2
3252,erasing,2
3253,elements,2
3254,songs,4
3255,york,3
3256,changing,3
3257,condescendingly,1
3258,assuring,1
3259,conviction,2
3260,message2,1
3261,insomnia,1
3262,disneys,1
3263,animatronic,1
3264,25,6
3265,spoke,5
3266,lasted,2
3267,forty,2
3268,mins,1
3269,gotten,2
3270,evenings,1
3271,excitement,2
3272,fairly,5
3273,creating,4
3274,double,2
3275,standard,3
3276,usual,7
3277,criticisms,3
3278,petition,8
3279,signed,10
3280,sea,5
3281,impressed,3
3282,severe,6
3283,levels,2
3284,butthurt,2
3285,gymnastic,1
3286,illogic,1
3287,jizzpuffins,1
3288,threatened,2
3289,progress,12
3290,scariest,1
3291,com,1
3292,aww,1
3293,removed,4
3294,canonbet,1
3295,ar,2
3296,remembering,3
3297,utterly,18
3298,clueless,1
3299,antijapanese,1
3300,japanese,3
3301,chinese,2
3302,gyohza,1
3303,dyowza,1
3304,mandarin,1
3305,phonetic,1
3306,spelling,2
3307,coffee,3
3308,pronounced,1
3309,j,2
3310,jalapeos,1
3311,necessarily,3
3312,geeyohza,1
3313,gee,2
3314,quickly,6
3315,amend,1
3316,car,5
3317,registrations,1
3318,2016,10
3319,2017spain,1
3320,124france,1
3321,103germany,1
3322,94italy,1
3323,68uk,1
3324,112brexit,1
3325,vor,4
3326,einem,2
3327,starben,1
3328,berliner,4
3329,breitscheidplatz,1
3330,menschen,1
3331,opferfamilien,1
3332,offenen,1
3333,write,10
3334,nearly,15
3335,engaged,3
3336,town,4
3337,hall,6
3338,kick,7
3339,married,8
3340,unwrapping,1
3341,wash,2
3342,content,4
3343,viewers,3
3344,warns,4
3345,cherrypick,1
3346,ironys,1
3347,misunderstanding,4
3348,punching,2
3349,expression,3
3350,harms,3
3351,cases,3
3352,illegal,16
3353,helpdesk,1
3354,dog,9
3355,turning,5
3356,mentions,3
3357,24,6
3358,filled,9
3359,break,13
3360,raif,1
3361,badawi,1
3362,lashed,1
3363,imprisoned,2
3364,faces,3
3365,penalty,3
3366,blasphemy,4
3367,violation,3
3368,squealing,5
3369,addressing,1
3370,google,6
3371,protects,3
3372,js,1
3373,mill,1
3374,disagrees,3
3375,extent,3
3376,banning,4
3377,simples,1
3378,mention,10
3379,arrest,1
3380,torture,1
3381,imprisonment,2
3382,murder,6
3383,grant,3
3384,platform,6
3385,mostly,4
3386,sourcing,1
3387,awesome,7
3388,c,10
3389,developers,3
3390,talented,1
3391,reform,5
3392,education,13
3393,remains,3
3394,mates,4
3395,playground,1
3396,carefullydelayed,1
3397,limited,2
3398,understood,4
3399,thinks,26
3400,parts,3
3401,disproportionately,2
3402,trade,40
3403,prosecution,1
3404,homo,1
3405,occasion,3
3406,hidden,2
3407,misinterpreted,2
3408,glass,6
3409,aware,9
3410,davidson,3
3411,sketch,1
3412,neutrality,2
3413,assuming,4
3414,league,4
3415,gatiss,1
3416,jim,2
3417,page,12
3418,httpstc,17
3419,gentlemen,4
3420,barbara,1
3421,richard,1
3422,littlejohn,1
3423,malcontents,1
3424,enemies,1
3425,speakers,3
3426,senate,2
3427,russia,8
3428,sights,1
3429,jill,3
3430,stein,1
3431,excus,1
3432,commercial,4
3433,moan,5
3434,violated,2
3435,ideas,4
3436,debate,27
3437,fascism,4
3438,beyond,11
3439,realms,1
3440,reasonable,4
3441,assault,9
3442,cretinous,1
3443,traffic,2
3444,snowflake,12
3445,immigration,13
3446,planning,1
3447,spain,9
3448,retire,2
3449,ca,3
3450,hugs,2
3451,snowflakey,1
3452,americans,7
3453,amendment,7
3454,constitution,1
3455,defer,1
3456,knowledge,6
3457,banned,10
3458,legal,12
3459,structure,2
3460,books,3
3461,attract,2
3462,rallies,5
3463,reach,3
3464,millions,6
3465,deceptive,1
3466,suspend,5
3467,cos,10
3468,appear,3
3469,tak,1
3470,belongs,2
3471,gs,1
3472,biz,1
3473,assumptions,4
3474,refer,4
3475,historic,1
3476,notions,1
3477,violates,2
3478,reject,6
3479,kicked,3
3480,arsehole,2
3481,fascists,3
3482,bitching,3
3483,squeals,7
3484,learn,18
3485,dears,6
3486,somehow,9
3487,ending,8
3488,highest,5
3489,rate,2
3490,inflation,2
3491,adam,1
3492,finds,7
3493,kylo,1
3494,ren,3
3495,austria,1
3496,passes,2
3497,hightech,1
3498,amazonfr,1
3499,em,2
3500,ties,4
3501,alde,1
3502,leads,4
3503,ifop,1
3504,intelligent,2
3505,drawn,2
3506,confirmation,3
3507,remarkable,3
3508,burned,2
3509,slightly,3
3510,trend,3
3511,underestimated,2
3512,pisspoor,1
3513,certifying,1
3514,condolence,1
3515,shackles,1
3516,image,9
3517,suns,2
3518,abandon,3
3519,reasons1,1
3520,opt,6
3521,wtd2,1
3522,betting,1
3523,implementation,1
3524,implement,2
3525,mugged,1
3526,tufnell,1
3527,dumped,1
3528,quilted,1
3529,chanel,1
3530,handbag,1
3531,usb,1
3532,technically,7
3533,mh,9
3534,deteriorating,1
3535,34716,1
3536,skeptical,1
3537,react,3
3538,development,2
3539,request,6
3540,fixes,1
3541,bug,1
3542,nudging,1
3543,touched,1
3544,proactive,1
3545,android,11
3546,libraries,1
3547,amounts,6
3548,regional,2
3549,offs,1
3550,wielded,1
3551,clippers,2
3552,hair,6
3553,suit,3
3554,cutest,1
3555,greatest,2
3556,created,7
3557,accusing,4
3558,intelligible,1
3559,trolling,3
3560,context,5
3561,fantasy,2
3562,brexiters,22
3563,favourable,2
3564,efta,5
3565,basis,11
3566,accuser,1
3567,inconvenient,1
3568,disagreeable,1
3569,ranks,1
3570,highly,2
3571,estimated,1
3572,partition,1
3573,india,2
3574,apart,5
3575,skinny,1
3576,bulked,1
3577,hardly,10
3578,nudity,3
3579,eea,3
3580,perfectl,1
3581,displays,1
3582,struggl,1
3583,sickening,2
3584,thrilled,2
3585,joined,6
3586,leavin,1
3587,wtomodel,1
3588,diane,11
3589,abbott,10
3590,fire,8
3591,water,7
3592,mistake,6
3593,abo,2
3594,deluged,1
3595,hanging,1
3596,vibe,1
3597,grip,2
3598,sense,15
3599,yep,6
3600,bookmaker,1
3601,blackface,1
3602,stock1,1
3603,10,11
3604,jump,6
3605,bias2,1
3606,breaks,2
3607,20,19
3608,wnschen,2
3609,euch,3
3610,schnen,2
3611,adventgeniet,1
3612,ruhe,1
3613,oder,1
3614,schne,1
3615,freunden,2
3616,httpstcobnqd9a,1
3617,researchers,1
3618,optimum,1
3619,trigger,2
3620,bio,8
3621,expectations,2
3622,andrew,6
3623,phase,6
3624,irrelevant,9
3625,fucked,13
3626,lime,1
3627,juice,1
3628,pleased,7
3629,announce,10
3630,honoured,2
3631,godalming,2
3632,ockford,3
3633,rejoin,1
3634,endure,4
3635,duties,1
3636,schengen,3
3637,unworkable,3
3638,weak,3
3639,fuckin,2
3640,wot,1
3641,mate,10
3642,professionals,4
3643,cutting,2
3644,class,16
3645,spoken,7
3646,disapprove,1
3647,popular,5
3648,paper,8
3649,peddl,1
3650,ofsted,2
3651,report,15
3652,excesses,1
3653,types1,1
3654,29th,2
3655,march,16
3656,20192,1
3657,extended,3
3658,eu3,1
3659,exit,10
3660,cancellation,2
3661,reapplication,2
3662,posh,1
3663,empire,4
3664,performed,2
3665,cduk,1
3666,totp,1
3667,fury,1
3668,accurately,1
3669,strictly,2
3670,toxic,4
3671,friendships,1
3672,scottish,9
3673,independence,8
3674,listening,3
3675,31st,1
3676,115652,1
3677,tackle,3
3678,anecdote,4
3679,abhorrent,4
3680,incidents,5
3681,mess,3
3682,hairdresser,1
3683,uncle,2
3684,fester,1
3685,oxygen,3
3686,charac,1
3687,hometown,2
3688,establishment,4
3689,gravy,2
3690,earning,1
3691,60k,6
3692,gross,7
3693,stupidity,7
3694,engage,6
3695,successful,4
3696,efit,1
3697,suspects,1
3698,assaulted,4
3699,welcome,28
3700,circulate,1
3701,widely,4
3702,repo,1
3703,luckily,3
3704,loves,2
3705,problematic,4
3706,scenario,1
3707,feelgood,1
3708,bored,11
3709,kelly,1
3710,marie,3
3711,tran,1
3712,reaction,8
3713,rose,2
3714,tico,1
3715,premiere,2
3716,awakens,1
3717,spare,2
3718,stuck,7
3719,multimillion,1
3720,pound,3
3721,townhouse,1
3722,trapped,1
3723,bruss,1
3724,guts,2
3725,notion,6
3726,cheering,2
3727,causing,3
3728,cheered,2
3729,fanfuckingtastic,1
3730,paul,12
3731,dacre,2
3732,thrives,1
3733,morons,7
3734,democratic,12
3735,candidate,18
3736,socially,1
3737,beer,21
3738,licensing,1
3739,restrictions,3
3740,abuse,17
3741,wegbier,1
3742,prost,1
3743,acquiescing,2
3744,tougher,3
3745,excerpt,1
3746,dies,5
3747,eine,9
3748,grobe,1
3749,verletzung,1
3750,brgerlichen,1
3751,freiheiten,1
3752,sequel,2
3753,egypt,1
3754,sacred,1
3755,oils,1
3756,hekenu,1
3757,seftji,1
3758,nekhnem,1
3759,setjibeb,1
3760,hatetash,1
3761,hatettjehenu,1
3762,criticised,3
3763,yo,7
3764,maltas,1
3765,requires,7
3766,unanimous,2
3767,agreement,10
3768,fyi,2
3769,tomorrows,3
3770,translated,7
3771,lecture,3
3772,dunningkrger,1
3773,diese,1
3774,woche,2
3775,gesetz,1
3776,zur,4
3777,strkung,2
3778,brgerrechte,1
3779,eingebacht,1
3780,antrag,1
3781,zum,4
3782,steuersc,1
3783,sweetpea,1
3784,hoffe,1
3785,weit,1
3786,hrtere,1
3787,haltung,2
3788,ausreichende,1
3789,fortschritte,1
3790,definitiv,1
3791,nicht,6
3792,gemacht,1
3793,worden,1
3794,complaints,2
3795,prize,4
3796,bothered,4
3797,learnt,10
3798,70,2
3799,ken,10
3800,clarke,1
3801,47,1
3802,longest,1
3803,serving,3
3804,mp,33
3805,career,10
3806,served,3
3807,aver,1
3808,barnsley,3
3809,shithole,6
3810,post,12
3811,caught,5
3812,captain,3
3813,brexiteer,4
3814,80,3
3815,syllables,2
3816,instead,15
3817,treaty,1
3818,beginsdetermined,1
3819,lay,4
3820,foundations,1
3821,pornhub,1
3822,53,2
3823,famous,2
3824,actor,1
3825,roll,5
3826,lifestyleim,1
3827,ikea,5
3828,rug,1
3829,student,12
3830,eu2,1
3831,skwawkbox,2
3832,countdown,2
3833,muss,4
3834,frher,1
3835,aufstehen,1
3836,wenn,4
3837,vorfhren,1
3838,67,1
3839,represent,2
3840,getti,1
3841,residents,7
3842,stabbed,1
3843,flies,2
3844,brussels,13
3845,defeat,5
3846,buenos,1
3847,aires,1
3848,latest,8
3849,wto,3
3850,disintegrated,1
3851,total,4
3852,failure,3
3853,combination,1
3854,sir,8
3855,edward,3
3856,leigh,1
3857,hue,2
3858,surprised,12
3859,priority,4
3860,unanimously,2
3861,expiration,2
3862,leaves,4
3863,29,2
3864,forgetting,4
3865,struck,4
3866,mep,2
3867,stood,8
3868,unsuccessfully,1
3869,selfloathing,1
3870,oliver,1
3871,syndrome,2
3872,comfortable,3
3873,middle,11
3874,handtomouth,1
3875,universally,1
3876,travel,5
3877,thousands,2
3878,miles,1
3879,groper,1
3880,homop,1
3881,waveney,1
3882,resultldem,4
3883,378,1
3884,378con,1
3885,65lab,1
3886,215,1
3887,46grn,1
3888,57,2
3889,democrat,12
3890,gain,16
3891,goldalming,1
3892,waverley,1
3893,grew,6
3894,obi,1
3895,wan,8
3896,yoda,1
3897,disappear,1
3898,robes,1
3899,vadar,1
3900,atone,1
3901,emperor,1
3902,trombone,1
3903,overused,2
3904,teller,5
3905,dispatch,1
3906,signalling,1
3907,los,1
3908,grieve,1
3909,afar,1
3910,plans,3
3911,bench,1
3912,rebels,1
3913,winfinal,1
3914,309305,1
3915,cinema,3
3916,minutes,10
3917,forgot,8
3918,balance,5
3919,doggy,1
3920,cute,4
3921,coat,1
3922,video,9
3923,canada,6
3924,imperialism,2
3925,preview,3
3926,prevailed,1
3927,populist,5
3928,scaremongering,1
3929,onslaught,2
3930,tool,3
3931,tells,10
3932,movies,1
3933,predators,1
3934,frozen,1
3935,seek,7
3936,sometime,1
3937,abouts,3
3938,rathaus,1
3939,roy,5
3940,moores,2
3941,shows,10
3942,american,3
3943,occasionally,5
3944,margin,3
3945,congress,2
3946,michel,1
3947,warm,1
3948,welcoming,5
3949,verpiss,3
3950,einzahm,1
3951,umfrage,1
3952,yougovumfrage,1
3953,ergab,1
3954,grobritannien,7
3955,gehen,2
3956,lass,2
3957,rubbish,2
3958,loads,5
3959,copies,1
3960,minds,3
3961,crowd,3
3962,fixated,1
3963,restored,1
3964,morris,2
3965,ipad,1
3966,solved,2
3967,withdrawal,5
3968,esp,1
3969,attempting,3
3970,illegally,2
3971,emigrate,1
3972,starvation,1
3973,shitfest,1
3974,alabama,5
3975,alleged,1
3976,molester,1
3977,diet,3
3978,cokes,1
3979,consume,1
3980,gulped,1
3981,waited,3
3982,pedophile,1
3983,swishswi,1
3984,moore,5
3985,abolish,2
3986,13th,1
3987,14th,1
3988,15th,1
3989,19th,1
3990,vengeance,2
3991,watchingnever,1
3992,deserving,1
3993,opport,1
3994,breaking,17
3995,doug,1
3996,blow,7
3997,narrows,1
3998,ineligible,1
3999,felon,1
4000,arrestedcall,1
4001,8006822793i,1
4002,committed,4
4003,felony,1
4004,credible,3
4005,source,5
4006,reporting,5
4007,90minute,1
4008,waits,1
4009,predominantly,1
4010,precinct,1
4011,verify,2
4012,whipped,2
4013,abstain,1
4014,lab,13
4015,kn,1
4016,readers,1
4017,ludicrous,4
4018,factcheck,1
4019,proper,12
4020,serious,9
4021,bookmark,1
4022,results,17
4023,reneging,1
4024,furious,5
4025,16th,1
4026,baptist,1
4027,bombi,1
4028,hardworking,1
4029,build,3
4030,cuddles,4
4031,enticed,1
4032,warmth,1
4033,war,19
4034,representatives,2
4035,dealt,5
4036,imperial,6
4037,identity,3
4038,powellite,1
4039,ignore,5
4040,pussy,2
4041,adultery,2
4042,vulgarity,1
4043,endorsing,2
4044,accused,3
4045,ch,2
4046,60,6
4047,sekundeninterview,1
4048,catholicism,2
4049,interviewed,3
4050,rating,4
4051,30,7
4052,schufa,1
4053,ltshamelesspluggt,1
4054,munich,1
4055,thatd,4
4056,crown,1
4057,responsible,16
4058,insignificant,3
4059,backbencher,3
4060,remarks,2
4061,inline,1
4062,strengthens,1
4063,nationalism,1
4064,hospice,1
4065,edinburgh,2
4066,advanced,3
4067,prostrate,1
4068,nurses,2
4069,bills,3
4070,reckon,4
4071,acts,4
4072,miss,17
4073,designed,2
4074,runnymede,1
4075,maidenhead,1
4076,brother,10
4077,juncker,5
4078,intense,2
4079,scrutiny,1
4080,approved,4
4081,ep,1
4082,negotiator,1
4083,is2,1
4084,ballot,3
4085,pms,6
4086,meps3,1
4087,powerless,1
4088,appointed,2
4089,commissioner,1
4090,slowly,3
4091,bargaining,4
4092,chips,4
4093,ready,2
4094,silence,4
4095,sidelines,1
4096,unfitness,1
4097,sh,2
4098,girl,6
4099,falls,5
4100,eighth,1
4101,index,1
4102,afters,1
4103,unacceptable,7
4104,restores,1
4105,amendements,1
4106,delaying,1
4107,inevitable,1
4108,untrustworthy,1
4109,illsuited,1
4110,delay,5
4111,tuesday,5
4112,robbie,5
4113,birthday,5
4114,bemoan,1
4115,age,8
4116,fly,6
4117,newcastle,1
4118,wet,2
4119,fish,2
4120,approval,3
4121,lower,2
4122,brtnelexben,1
4123,someones,3
4124,survation,2
4125,yougov,9
4126,wednesday,4
4127,precisely,20
4128,ransom,3
4129,weitere,1
4130,eindrcke,1
4131,unserem,1
4132,presseabend,1
4133,vielen,1
4134,weiteren,1
4135,dave,2
4136,chokes,1
4137,youdareask,1
4138,concede,1
4139,silicone,1
4140,forgotten,6
4141,cleggcameron,1
4142,xxx,2
4143,fanfic,1
4144,meets,2
4145,decent,4
4146,quality,4
4147,scale,5
4148,durex,1
4149,scandal,3
4150,engages,1
4151,subliminal,2
4152,advertising,1
4153,liquid,1
4154,silk,1
4155,closed,3
4156,captions,1
4157,youtube,3
4158,rihanna,1
4159,showing,7
4160,confirmed,6
4161,table,11
4162,future,15
4163,tall,1
4164,prosperous,1
4165,sympathetic,3
4166,tos,2
4167,pleas,3
4168,consequence,2
4169,citizen,8
4170,rip,2
4171,les,2
4172,dennis,1
4173,300,2
4174,euros,2
4175,testing,1
4176,mattresses,1
4177,sleeping,2
4178,officially,12
4179,middleaged,1
4180,whoa,1
4181,sehr,4
4182,gut,3
4183,startet,1
4184,initiative,3
4185,brgerrechten,1
4186,band,3
4187,aid,2
4188,newsworthy,1
4189,dictatorial,3
4190,tonguebanging,1
4191,decade,5
4192,natures,1
4193,paintbrush,1
4194,clifford,1
4195,spinning,1
4196,grave,4
4197,celebrities,3
4198,miracle,1
4199,keaton,1
4200,names,3
4201,marriages,1
4202,convinced,4
4203,beats,5
4204,nhs,15
4205,ballache,1
4206,ie,2
4207,pre,2
4208,existing,4
4209,condition,2
4210,visited,5
4211,flown,1
4212,crumbled,1
4213,undoubtedly,1
4214,tagging,1
4215,stalks,1
4216,helpful,3
4217,conversely,1
4218,suited,3
4219,romantic,1
4220,attacks,5
4221,terrifyingly,1
4222,types,5
4223,sorta,3
4224,gromit,1
4225,laying,3
4226,track,7
4227,panicked,2
4228,derail,1
4229,beast,1
4230,changes,5
4231,upsets,1
4232,4th,2
4233,breathe,1
4234,la,3
4235,returns,2
4236,carpet,1
4237,snows,1
4238,snow,1
4239,immigrants,11
4240,cockjuggler,1
4241,phrases,5
4242,attributed,1
4243,wonder,10
4244,shittest,2
4245,programming,1
4246,language,17
4247,insult,7
4248,shield,3
4249,mentally,2
4250,perpetuating,1
4251,stigma,2
4252,diagnosing,2
4253,illness,11
4254,height,1
4255,assume,9
4256,overturn,6
4257,indicates,1
4258,fauxproeu,1
4259,cjeu,1
4260,ecj,2
4261,judgments,1
4262,judgements,1
4263,hist,1
4264,impose,1
4265,negotiating,10
4266,awarded,1
4267,nobel,2
4268,advancing,1
4269,reconciliation,1
4270,sovereign,3
4271,supreme,1
4272,court,6
4273,increasingly,4
4274,considers,1
4275,divorce,8
4276,conditional,1
4277,upon,8
4278,fta,4
4279,previous,8
4280,commitments,2
4281,common,5
4282,sneak,1
4283,peek,1
4284,crew,1
4285,scenes,4
4286,sense8,4
4287,fina,1
4288,watches,3
4289,uncomfortable,3
4290,reminder,21
4291,resentment,1
4292,ignored,4
4293,nodded,1
4294,doorstep,5
4295,recounted,1
4296,verbatim,2
4297,express,7
4298,headlines,5
4299,list,23
4300,aaron,2
4301,hearted,1
4302,criteria,8
4303,academicsome,1
4304,reenacting,1
4305,trek,3
4306,htt,11
4307,trumpian,2
4308,narcissism,1
4309,rising,1
4310,fast,6
4311,boyfriend,4
4312,neil,4
4313,travelling,5
4314,islwyn,1
4315,bournemouth,1
4316,abou,1
4317,40bn,1
4318,fortune,1
4319,productive,3
4320,terms,9
4321,lectures,6
4322,worship,3
4323,japan,3
4324,starts,11
4325,leavi,1
4326,superstate,1
4327,super,3
4328,utmost,2
4329,trinity,1
4330,college,4
4331,oxford,10
4332,settle,3
4333,2001,1
4334,updated,2
4335,hang,2
4336,gib,3
4337,nichts,3
4338,rats,1
4339,spoiled,1
4340,27,13
4341,clout,1
4342,capitulate,1
4343,equally,1
4344,tear,2
4345,barriers,1
4346,accomplish,1
4347,remind,5
4348,legislature,1
4349,multiple,2
4350,uni,20
4351,residency,2
4352,subhuman,1
4353,laundries,4
4354,raped,3
4355,murdered,12
4356,welby,1
4357,south,13
4358,strike,2
4359,led,7
4360,pretends,2
4361,vaseline,1
4362,dry,2
4363,lives,13
4364,enduring,1
4365,sectarian,1
4366,violence,7
4367,northern,7
4368,tha,4
4369,residence,2
4370,retaining,4
4371,dual,1
4372,citizenship,7
4373,obey,1
4374,regulations,1
4375,abide,1
4376,rulings,1
4377,courts,2
4378,sony,3
4379,centres,2
4380,deliver,2
4381,dialogue,2
4382,reads,4
4383,dangerously,1
4384,behaving,4
4385,agitative,1
4386,rebellious,1
4387,gifs,2
4388,caroline,5
4389,knnen,2
4390,grobritanniens,1
4391,erhalten,1
4392,revenge,2
4393,copy,5
4394,microsoft,1
4395,officeyou,1
4396,therapist,1
4397,fixate,1
4398,newport,1
4399,north,6
4400,devon,2
4401,16,5
4402,ridiculously,2
4403,documents,2
4404,cardassians,1
4405,straighttalking,1
4406,federation,2
4407,planets,1
4408,fkin,2
4409,caused,9
4410,belgium,1
4411,define,2
4412,contribute,2
4413,prices,2
4414,devalued,1
4415,turned,7
4416,garam,1
4417,masala,1
4418,hin,2
4419,arsenuggets,1
4420,passively,1
4421,leavers,7
4422,fatal,1
4423,apartho,1
4424,typing,3
4425,diarrhetic,1
4426,r,5
4427,screeching,1
4428,considera,1
4429,federalised,1
4430,stabilise,1
4431,separated,2
4432,90,5
4433,discussed,2
4434,peacocking,2
4435,distract,2
4436,fully,14
4437,soft,3
4438,spot,7
4439,shift,2
4440,fotze,2
4441,title,3
4442,76,1
4443,carries,2
4444,httpstcok5ghfxo,1
4445,federal,3
4446,employment,3
4447,discrimination,4
4448,discriminating,1
4449,chap,5
4450,disagreeing,4
4451,merits,3
4452,federalism,1
4453,object,2
4454,propose,4
4455,moronic,14
4456,brexitbrexit,1
4457,selfish,2
4458,origin,5
4459,02,1
4460,population,3
4461,resigns,1
4462,misleading,3
4463,expect,15
4464,command,2
4465,dogmatic,1
4466,dose,1
4467,wilfully,1
4468,agenda,2
4469,epic,3
4470,rare,3
4471,vetoed,1
4472,smallest,1
4473,australian,5
4474,physically,2
4475,benches,4
4476,funded,1
4477,weaponise,1
4478,pupils,1
4479,narrow,2
4480,cynical,3
4481,poli,2
4482,taught,2
4483,conservatives,13
4484,type,5
4485,disagree,14
4486,tv,16
4487,terrifyingthe,1
4488,bookies,2
4489,leadernone,1
4490,willy,1
4491,lgbtiq,1
4492,elder,1
4493,fought,6
4494,bloodier,1
4495,battles,3
4496,pave,2
4497,todayand,1
4498,christianity,6
4499,holland,4
4500,spiderman,2
4501,x2,1
4502,iron,2
4503,3,25
4504,guardians,1
4505,galaxy,1
4506,harassment,9
4507,pred,1
4508,sweets,1
4509,kinder,2
4510,milka,1
4511,skittles,1
4512,starburst,1
4513,whispa,1
4514,enfield,1
4515,potter,1
4516,styles,2
4517,houdinibuffy,1
4518,voyager,1
4519,tng,1
4520,discovery,2
4521,stranger,1
4522,thingsberlin,1
4523,liverpool,1
4524,hamburgdomestic,1
4525,maine,1
4526,coon,1
4527,bengal,1
4528,siberian,1
4529,directed,2
4530,natalie,1
4531,sekt,4
4532,ten,8
4533,melted,1
4534,camembertjalapeo,1
4535,hummussweet,1
4536,chilli,1
4537,hummushummusgarlic,1
4538,sauce,2
4539,ladybirdlonghornscarabgroundweevil,1
4540,naaaaaah,1
4541,clintonbarack,1
4542,obamajohn,1
4543,kennedytheodore,1
4544,rooseveltthomas,1
4545,jefferson,1
4546,evokes,1
4547,memories,2
4548,minchinsilent,1
4549,humanist,15
4550,tune,2
4551,lyricslast,1
4552,whamfairytale,1
4553,pogueswinter,1
4554,wonderland,1
4555,bing,1
4556,crosby,7
4557,flint,1
4558,soubrynicky,1
4559,morganken,1
4560,clarkesarah,1
4561,wollastontom,1
4562,tugendhat,1
4563,eyes2,1
4564,smile3,1
4565,intellect4,1
4566,ltredactedgt5,1
4567,food,17
4568,preparation,3
4569,abilities,2
4570,camembert,1
4571,tesco,7
4572,saint,2
4573,agurrauchksebrie,1
4574,abovecheddar,1
4575,lit,1
4576,level,14
4577,comparative,1
4578,coursework,1
4579,soooooooo,1
4580,angels,2
4581,paton,2
4582,walshthe,1
4583,wasp,1
4584,factory,3
4585,iain,2
4586,banksa,1
4587,bohemia,1
4588,walsh,1
4589,isthe,1
4590,innocent,3
4591,ian,5
4592,mcewancomputer,1
4593,judgment,1
4594,calculation,1
4595,weizenbaum,1
4596,earth,8
4597,slightest,1
4598,shred,3
4599,sedgefield,1
4600,weve,13
4601,willing,11
4602,corruption,1
4603,swearword,1
4604,justice,4
4605,feelings,4
4606,httpstcoxqa6ypeq,1
4607,unions,1
4608,juvenile,1
4609,nonsens,1
4610,howd,1
4611,damian,1
4612,allegations,2
4613,signing,2
4614,site,5
4615,exception,3
4616,contain,1
4617,rutte,1
4618,buildings,2
4619,muc,1
4620,politiskeen,2
4621,hahahahaha,1
4622,exactly,13
4623,samps,1
4624,july,6
4625,changed,13
4626,error,2
4627,applaud,2
4628,contender,1
4629,ab,5
4630,boggling,1
4631,junior,2
4632,servant,1
4633,instruction,1
4634,al,2
4635,q,4
4636,againa,1
4637,thomas,1
4638,tank,2
4639,engine,1
4640,bull,1
4641,u2,6
4642,puns,2
4643,eurozone,1
4644,fixing,3
4645,stoopid,1
4646,geeks,1
4647,assessments,2
4648,papers,4
4649,httpstcowcaq,1
4650,5060,1
4651,handed,1
4652,plastic,1
4653,wallet,2
4654,blank,3
4655,sheets,1
4656,bollocking,1
4657,homework,1
4658,tend,5
4659,benchmark,2
4660,version,5
4661,finedublin,1
4662,budgedup,1
4663,branded,1
4664,hivis,1
4665,jackets,2
4666,rage,2
4667,quizits,1
4668,stormy,1
4669,dirt,1
4670,bumps,2
4671,potholes,1
4672,customs,9
4673,controls,1
4674,subject,4
4675,shadows,1
4676,ecjlittle,1
4677,regulatory,2
4678,divergence,1
4679,rosindell,1
4680,grasp,2
4681,intellectual,7
4682,prowess,2
4683,gnat,1
4684,oncebittentwiceshy,1
4685,pessimist,1
4686,limitations,1
4687,vr,1
4688,western,1
4689,bedroom,3
4690,completely,4
