id,words,counts
438,sort,33
439,detected,1
440,ukip,44
441,marriage,28
442,latter,10
443,opportunity,9
444,replace,6
445,merkel,29
446,someone,49
447,less,34
448,stable,8
449,govt,19
450,formed,3
451,factor,1
452,currently,25
453,polarising,2
454,detractors,1
455,despise,5
456,vigour,1
457,supporters,6
458,revere,2
459,alliance,6
460,made,70
461,centreright,1
462,cdu,4
463,camerons,2
464,tories,92
465,without,67
466,europehating,1
467,bashing,6
468,detail,1
469,process,11
470,interested,17
471,excellent,20
472,article,39
473,explains,4
474,work,91
475,b,20
476,historically,2
477,prospect,2
478,happens,14
479,answer,21
480,nobody,30
481,knows,21
482,bundesrepublik,2
483,uncharted,1
484,waters,2
485,drive,6
486,deeper,1
487,configuration,1
488,whether,17
489,accept,21
490,proposal,1
491,various,9
492,influential,3
493,factions,2
494,including,14
495,youth,4
496,wing,7
497,political,44
498,wings,2
499,counterparts,1
500,fact,37
501,since,37
502,start,23
503,gone,22
504,polls,24
505,record,16
506,low,8
507,18,7
508,13,14
509,years,99
510,ago,36
511,enjoying,6
512,shares,2
513,practically,6
514,twice,3
515,lot,48
516,finish,4
517,well,149
518,conclude,2
519,jamaika,2
520,problem,26
521,pummelled,1
522,anyway,17
523,eventually,2
524,caves,1
525,speech,42
526,afterwards,4
527,attempts,3
528,divert,2
529,attention,8
530,away,46
531,uturn,1
532,proposing,3
533,united,23
534,states,14
535,europe,28
536,almost,27
537,heard,15
538,gave,16
539,daily,25
540,mail,25
541,hernia,1
542,option,9
543,works,17
544,ruled,6
545,severely,3
546,pisses,2
547,chunk,4
548,feel,52
549,boxed,1
550,impossible,14
551,situation,15
552,president,29
553,frankwalter,1
554,steinmeier,1
555,basically,20
556,says,55
557,ffs,9
558,calling,24
559,fresh,6
560,elections,21
561,squabbling,1
562,children,21
563,agree,46
564,something,68
565,paraphrase,1
566,course,33
567,anybody,34
568,elects,2
569,check,25
570,sidenote,3
571,ceremonial,1
572,responsibilities,3
573,powers,4
574,pertinent,1
575,able,37
576,call,37
577,holds,3
578,elected,20
579,position,11
580,albeit,3
581,directly,10
582,unexpectedly,2
583,fdp,6
584,christian,27
585,lindner,4
586,pulled,1
587,saying,56
588,along,14
589,lines,2
590,better,83
591,govern,3
592,threw,2
593,everything,51
594,air,2
595,went,29
596,visit,14
597,expected,8
598,normally,27
599,greens,8
600,economically,5
601,centrist,3
602,mind,19
603,first,112
604,dubbed,2
605,due,11
606,colours,4
607,matching,2
608,nation,14
609,flag,11
610,except,18
611,farright,5
612,came,17
613,obviously,20
614,factored,1
615,potential,3
616,configurations,1
617,give,75
618,greater,5
619,wanted,25
620,autocorrect,5
621,racist,58
622,sept,4
623,2017,27
624,split,2
625,returned,1
626,bundestag,9
627,entering,4
628,minor,4
629,8,16
630,12,12
631,gives,10
632,812,1
633,conservative,21
634,33,9
635,socialists,4
