id,author_id
0,955560999544901632
1,955557708064804871
2,955556026962645000
3,955547808974635014
4,955545438970695680
5,955545323048497153
6,955477324681629697
7,955428262834065408
8,955406936144601089
9,955215484651278336
10,955215325804494853
11,955200586768683008
12,955186643681595392
13,955184527625871362
14,955182892619128833
15,955179998981304322
16,955171971851014145
17,955167107045646336
18,955119942017396736
19,955119185167900673
20,955103604901384192
21,955102185691508738
22,955100936409616384
23,955100729093558272
24,955100577557549056
25,955099373377122304
26,955098681006542850
27,955098233491152896
28,955095948090363905
29,955094872096165888
30,955094208888606725
31,955087121982791680
32,955080571574738951
33,955078640580153344
34,955077747658936320
35,955064782536798209
36,955055890935119872
37,955052680233279489
38,955048788787331075
39,955046258158252032
40,955045918373490688
41,955042023085674496
42,955040585295056896
43,955037597730066432
44,955034774627905537
45,955033921581993985
46,955033629016641538
47,955031569911238656
48,955031229220425728
49,955029334384939009
50,955029177081778176
51,955028927818452993
52,955028522132754432
53,955028087447719937
54,955027547586285568
55,955026882029850624
56,955026591637299200
57,955025335749435392
58,955024969972449281
59,955024545383141376
60,955024122517622784
61,955023670166081536
62,955023548590051329
63,955022687595827201
64,955021674889564160
65,955021283359707137
66,955020811089440768
67,955020733922578433
68,955019787985408005
69,955019048940654593
70,955017442597752832
71,955016850500390912
72,955016323200897024
73,955016107898830848
74,955014495688187904
75,955014177961205760
76,955013510597152768
77,955013336416116736
78,954857448866754560
79,954847394545487872
80,954845812361703424
81,954787206723522560
82,954771917097066496
83,954771740474920961
84,954767244881481728
85,954755434195406848
86,954752427831517185
87,954717819291267079
88,954703465032355840
89,954501290175889410
90,954486356553723904
91,954475796357439489
92,954475531587776516
93,954475285541457920
94,954475269594677249
95,954475029445726209
96,954472245207994369
97,954471979440066564
98,954414202701139969
99,954399238166806528
100,954380670276657152
101,954069992659734528
102,954060462978666497
103,954060098095210496
104,954058961342423043
105,953983512645918721
106,953966275167956992
107,953965786036625413
108,953965319420284928
109,953964411861000192
110,953958769108619264
111,953958251544088582
112,953930397737418752
113,953930260319494144
114,953930191293812736
115,953677313094377473
116,953647583477592065
117,953618336134451200
118,953613724962697217
119,953607030975156224
120,953606009397837824
121,953605301223198720
122,953605231874576384
123,953605080426655744
124,953568102909972480
125,953566569635950593
126,953415322173833217
127,953374628860309505
128,953373621581381634
129,953331521045385216
130,953301078744891392
131,953288140692836352
132,953276088532324353
133,953273412620898306
134,953253957169831936
135,953232328150732800
136,953214869465108480
137,953213720179740672
138,953213065977360384
139,953212312265068545
140,953212256220844033
141,953211620687335424
142,953211532598501377
143,953025141985939456
144,952984099467251712
145,952982257723199488
146,952981947936133120
147,952980992863678464
148,952971471915188225
149,952965993361440768
150,952921705978236929
151,952920982989271041
152,952897646011781120
153,952880771626303491
154,952834053731995648
155,952833329191145472
156,952762729223290880
157,952762623954649090
158,952552089674186753
159,952374822855692294
160,952365779906957312
161,952232375769018368
162,952220378595815425
163,952220178917613570
164,952197376734826497
165,952181028487090177
166,952180853165248512
167,952034168552206336
168,952024532969246720
169,952003640419594240
170,952003407069503488
171,951876134119137280
172,951853580029517824
173,951852160492466176
174,951852125923041285
175,951851981819269120
176,951631039226613761
177,951630754831896576
178,951615440492679168
179,951598554275024897
180,951594187341918208
181,951591683371790337
182,951567237080600576
183,951566815234285568
184,951432654859243520
185,951429642468122624
186,951427579717869568
187,951427012601794560
188,951425135348764674
189,951424070901551105
190,951422276167225344
191,951421952622825472
192,951411128667660288
193,951406176683614208
194,951382726917152768
195,951375309181505536
196,951257891549401088
197,951236954213027840
198,951228896292294659
199,951224823832817665
200,951223693526622208
201,951223638065340417
202,951223559598288896
203,951215499232366598
204,951204589017223169
205,951189521604972544
206,951159552082407426
207,951159435803742219
208,951158264481370112
209,951157831469797376
210,951107558848319489
211,951106563426734080
212,951106379359703042
213,951106270311866368
214,951101141164675073
215,951100150159638529
216,951052804373778432
217,951052079807811584
218,951037246798532609
219,951035072236355584
220,951017938882097152
221,950749738504212480
222,950739614414884866
223,950688578157326336
224,950667707896168448
225,950456068173455365
226,950455381410672641
227,950437838075592704
228,950036535239471105
229,950036356130066432
230,948572069427580928
231,948537690642898944
232,948532301478137856
233,948528101386018816
234,948514260145049600
235,948512574198505472
236,948507396200173569
237,948507108445696000
238,948502238581968897
239,948500781233266688
240,948491185798119424
241,948490481515876354
242,948488704464769025
243,948483196806627330
244,948460924050034693
245,948451963351588865
246,948451168174444545
247,948450642573643776
248,948450450399027200
249,948384855628353536
250,948379905741545472
251,948379535027965952
252,948379310292946944
253,948379145796497408
254,948296710614323200
255,948273376476434433
256,948273098486353927
257,948268785693286400
258,948268648829018112
259,948265499196043265
260,948256715987963904
261,948236324041035777
262,948234933478313985
263,948232243205591040
264,948227804348502016
265,948216316648939520
266,948215743438557184
267,948205033161744385
268,948199787832184832
269,948198941299965952
270,948198901118636032
271,948198281309507591
272,948198199180840960
273,948197050373607425
274,948193362565369856
275,948193179723010048
276,948192188130889728
277,948191251760861184
278,948180470281457665
279,948179787259969536
280,948169677607489538
281,948166787375468544
282,948165960120315905
283,948165523631673344
284,948164940153720832
285,948164524426891264
286,948164329341366272
287,948164081483173888
288,948163623800754176
289,948163482716864512
290,948162836668272640
291,948162419184078854
292,948161183915429889
293,948160359835238401
294,948157732653355012
295,948155176157839361
296,948152707101192193
297,948148113046372357
298,948147311653392384
299,948145840668934144
300,948144632927531008
301,948133802324393984
302,948133517749350401
303,948133379253456896
304,948133144858976256
305,948131403245420544
306,948129861532516352
307,948129262753714177
308,948121685789757440
309,948116425264324608
310,948113953808375813
311,948051916952662016
312,948038892191735808
313,947997828391100419
314,947997012766674944
315,947994889597472771
316,947939927047667712
317,947936093277745153
318,947929751720734720
319,947917560644849666
320,947904119255289857
321,947887949034741760
322,947887727831388161
323,947854028331012096
324,947853945803804672
325,947853461412106240
326,947853282810236928
327,947836552188657665
328,947835886313594880
329,947835646080638977
330,947638857889210369
331,947638701177430016
332,947626639021760512
333,947623606057566208
334,947621491465744384
335,947617835085385728
336,947616543541727232
337,947567018445824001
338,947564503004274689
339,947524637256310791
340,947442304574480384
341,947439885392269312
342,947434130979131393
343,947433395449147394
344,947363419178655744
345,947262048760680449
346,947261619972734976
347,947261329764700160
348,947164805722460160
349,947161249820835841
350,947161158489923584
351,947159265101443073
352,947159038340591618
353,947140672779358209
354,947122682348425217
355,947122615356936192
356,947094991968653313
357,947093270391349249
358,947091640761618432
359,947082919356653568
360,947079675104374784
361,947077732713861120
362,947077118009204736
363,947076776521551872
364,947075903728898049
365,947075670362017792
366,947075538295971840
367,947075341285318656
368,947073826529128448
369,947073619892539392
370,947060866679222272
371,947058320782786560
372,947054546718732290
373,947051517315633152
374,947050309100228608
375,946913464781541376
376,946885791858520066
377,946879797560569856
378,946835841409863680
379,946835430397415424
380,946809421908316160
381,946792837491888129
382,946792229095596033
383,946791279588864000
384,946776120753520641
385,946775904499523584
386,946769769373618176
387,946763724538466304
388,946762747634765824
389,946761623322152965
390,946761518133272576
391,946761257134313472
392,946761003089453056
393,946756650978988038
394,946756614283055105
395,946756211810107392
396,946755746213089280
397,946755607528435712
398,946755556181729281
399,946746213730275328
400,946744679391027200
401,946738721226940416
402,946738557699395584
403,946738272503566339
404,946736455149412353
405,946730774140739590
406,946553955454275585
407,946553403777396736
408,946542877701787648
409,946542829366628352
410,946542790346969088
411,946496031050620928
412,946488775420665856
413,946486526602510336
414,946429575134892032
415,946422209207300096
416,946421809083244546
417,946420935283879936
418,946420584983953408
419,946420545964380160
420,946416510913990658
421,946416487983656960
422,946412270778769408
423,946410142303772672
424,946410078135029761
425,946409908068667393
426,946409794352664576
427,946409466836156422
428,946390306404093953
429,946379551797645312
430,946379189233635330
431,946375400413913089
432,946374284901076993
433,946374068458131457
434,946234431215423488
435,946195638739496961
436,946194226936676353
437,946193691676377094
438,946181162044678144
439,946172822807826433
440,946164653670924288
441,946164065226850304
442,946161044979879937
443,946160722052034560
444,946142067868291077
445,946131376243380229
446,946124839760351233
447,946123264471990272
448,946123058233954304
449,946122750275608581
450,946121830154297345
451,946121262790774785
452,946120765786738688
453,946120379873062912
454,946118853381296129
455,946118504629055490
456,946118375234854913
457,946115873881968640
458,946052132410716160
459,946051656382386177
460,946012339299667969
461,946011888030244865
462,946008628389179392
463,946004615966883840
464,945993086760611840
465,945992249753657344
466,945985863904907264
467,945984158895091713
468,945983541816582145
469,945983174496215040
470,945981648251904000
471,945978946776174592
472,945978678776946689
473,945978312165294081
474,945976321863188480
475,945973304707485696
476,945839933020934148
477,945832053341409280
478,945735443341029377
479,945683601500319744
480,945682992013422592
481,945682705945104384
482,945682015315210241
483,945680974259552257
484,945680862024228864
485,945680570914426880
486,945680380501340160
487,945679925230624768
488,945654135310946304
489,945653240116465665
490,945638953796939778
491,945446568337035265
492,945435202536558592
493,945394530983038977
494,945380362540277760
495,945372124155449346
496,945367812582801408
497,945366779395821568
498,945318199662403584
499,945297482740838402
500,945255305902018561
501,945163115217465345
502,945128373302497280
503,945105516459589632
504,945098225824026625
505,945091452899602432
506,945090469649944576
507,945089910104576000
508,945089769238925317
509,945081362545086464
510,945075626196783104
511,945073570820055040
512,945068333879185409
513,945068242376318976
514,945066892418605057
515,945066150123180032
516,945065682592587777
517,945018843902201861
518,945016195228602375
519,945015105565216768
520,944998726698983424
521,944978522128265216
522,944976127759732737
523,944975077505978368
524,944966897430421506
525,944966131957293056
526,944953464836313094
527,944952691712806912
528,944952421708697600
529,944952129969704960
530,944944618818465792
531,944934935265202176
532,944934412914962432
533,944934215262572551
534,944933305023107072
535,944933242163159041
536,944933083786211328
537,944930182464524289
538,944929906231857152
539,944929583694057473
540,944928745789501440
541,944927874733215744
542,944927552140963840
543,944926568308264960
544,944925698581508102
545,944922599724863489
546,944907327731392512
547,944900646112759810
548,944714809941078016
549,944713133150691328
550,944712843420749824
551,944705651862900736
552,944701501724942337
553,944701184841052160
554,944692296938852352
555,944678105112866822
556,944676611118465024
557,944653688961994752
558,944653583689093120
559,944649294627459072
560,944646117408559105
561,944645709277614080
562,944645583393959936
563,944644982757036032
564,944642980761231360
565,944640123890696195
566,944639150837452801
567,944639070818402308
568,944637787067777024
569,944637505965645825
570,944630083905622016
571,944623124640919552
572,944622148055982083
573,944617546648621057
574,944615832738586624
575,944615761988980736
576,944607724117086208
577,944591855337000960
578,944584352305950721
579,944582346782793729
580,944570546171338752
581,944549847360770048
582,944549538404163584
583,944543599081000960
584,944541660641484800
585,944539696734056448
586,944534433922715648
587,944533965544796161
588,944336742974394368
589,944314478316916742
590,944252201458982913
591,944251373327212546
592,944250622664171521
593,944250201849593856
594,944249769270108161
595,944249465455734786
596,944247723284451328
597,944218031395360769
598,944209852200562690
599,944208876496412673
600,944207800015687681
601,944207459346014210
602,944207397358391296
603,944187364380995584
604,944167094358339585
605,944166686944612352
606,944165105884975105
607,944147370819903489
608,944147339094216706
609,944146547268378624
610,944144250706579456
611,944142270986670080
612,944141525172342784
613,944141281260949504
614,944140953169907713
615,944140096613253127
616,944138343121645569
617,944133933364588545
618,944133677109432320
619,944130682477076480
620,944007232106172416
621,944006941252227074
622,944004604945158145
623,943976665545367554
624,943975680756404224
625,943975651857530882
626,943975398811070464
627,943975382843314176
628,943967338168233985
629,943966318910427136
630,943966196713607173
631,943965910045483008
632,943959262061125634
633,943958784849993728
634,943958319852597248
635,943952115059363840
636,943949531300925441
637,943949248701370369
638,943948901262004224
639,943858178856538112
640,943857984983257089
641,943845252544294912
642,943844938567045120
643,943839728104853505
644,943820369378627584
645,943805744599748609
646,943805625712115712
647,943804666646859777
648,943802314216935425
649,943802258109730816
650,943794790809899008
651,943792088306585600
652,943786564634710016
653,943782066960977920
654,943781354176700416
655,943777470716760064
656,943776339898851328
657,943776167630462976
658,943776033484009472
659,943769156268232704
660,943768339285004289
661,943768138516230144
662,943767958626717696
663,943765494896779265
664,943632086254211073
665,943613718172262401
666,943604692914982914
667,943602972411465731
668,943596947641978880
669,943553438901833728
670,943545959111372800
671,943488591086448646
672,943485375384780802
673,943481301520322561
674,943475231246700544
675,943458481998360577
676,943454535762182145
677,943436554768437248
678,943416584885895168
679,943413855505534976
680,943404701286100992
681,943404386495205376
682,943402910108536832
683,943304262712483840
684,943294481130053633
685,943267047957585920
686,943261457474572288
687,943241232171618304
688,943236745625260032
689,943210728646955009
690,943208997582200834
691,943208443858604034
692,943208409188401152
693,943208371779457024
694,943208347821596673
695,943194063171354624
696,943193235429707776
697,943192278562205697
698,943177548162322433
699,943176955154845701
700,943176492774805505
701,943175004002365440
702,943174445417541637
703,943152229342642177
704,943133700165947392
705,943118553766662144
706,943116966272872451
707,943092054082707456
708,943091896351711232
709,943083520251002880
710,943082956620423168
711,943066802896232448
712,943066675984896001
713,943065883366318081
714,943063023526338560
715,943062490770034688
716,943061798424662018
717,943059602941382656
718,943057596222713858
719,943054424724959232
720,943054373009149952
721,943052679831543814
722,943042964472901632
723,943041753631903744
724,943041231419998208
725,943040932328497152
726,942925099426033665
727,942922161286721542
728,942921954952187904
729,942921148999839744
730,942920948730269696
731,942920543250124800
732,942913162298437633
733,942912848254160896
734,942907575867138048
735,942893143854407680
736,942892363978035201
737,942891237610278917
738,942889887732289537
739,942889681435361280
740,942869206604963841
741,942839457702662145
742,942834385220505601
743,942834108916486145
744,942833647580835848
745,942832650276036608
